ann	chrom	start	stop	ISAba24_1	TnAs3_1	Tn5393_1	ISEc29_1
ds_ABR06_00925<>us_ABR06_00926	Chromosome	963298	963591	1.0	0.0	0.0	0.0
ABR06_02617	Chromosome	2657382	2658587	1.0	0.0	0.0	0.0
ABR06_01402	Chromosome	1436043	1437519	2.0	0.0	0.0	2.0
ds_ABR06_03865<>us_ABR06_03866	Chromosome	3900246	3900382	2.0	0.0	0.0	0.0
ABR06_01414	Chromosome	1445872	1447171	1.0	0.0	0.0	0.0
ABR06_01429	Chromosome	1461366	1462917	2.0	0.0	0.0	0.0
ABR06_01405	Chromosome	1439102	1440662	1.0	0.0	0.0	0.0
ABR06_03593	Chromosome	3624869	3626294	1.0	0.0	0.0	0.0
ABR06_03311	Chromosome	3323665	3325057	1.0	0.0	0.0	0.0
ABR06_00093	Chromosome	95853	97218	2.0	0.0	0.0	0.0
ABR06_00929	Chromosome	965286	965724	2.0	0.0	0.0	0.0
ABR06_02793	Chromosome	2788724	2790062	1.0	0.0	0.0	0.0
ds_ABR06_01403<>ds_ABR06_01404	Chromosome	1438459	1438817	1.0	0.0	0.0	0.0
ds_ABR06_03825<>us_ABR06_03826	Chromosome	3855732	3856067	3.0	0.0	0.0	0.0
ABR06_01138	Chromosome	1178339	1181282	1.0	0.0	0.0	0.0
us_ABR06_00236<>us_ABR06_00237	Chromosome	248648	248766	1.0	0.0	0.0	0.0
ABR06_03853	Chromosome	3886190	3888377	1.0	0.0	0.0	0.0
ABR06_01223	Chromosome	1270462	1273642	1.0	0.0	0.0	0.0
ABR06_03650	Chromosome	3681444	3683013	2.0	0.0	0.0	0.0
ABR06_00257	Chromosome	264677	265061	1.0	0.0	0.0	0.0
ABR06_03335	Chromosome	3349139	3349982	3.0	0.0	0.0	0.0
ABR06_00040	Chromosome	41563	42664	1.0	0.0	0.0	0.0
ABR06_00315	Chromosome	328665	329976	1.0	0.0	0.0	0.0
ABR06_01014	Chromosome	1034269	1035874	3.0	0.0	0.0	0.0
ABR06_01022	Chromosome	1044273	1045510	2.0	0.0	0.0	0.0
ABR06_04033	Plasmid2	3478	5890	2.0	0.0	0.0	0.0
ABR06_03113	Chromosome	3101852	3102598	1.0	0.0	0.0	0.0
us_ABR06_02544<>ds_ABR06_02545	Chromosome	2579919	2579984	1.0	0.0	0.0	0.0
ABR06_00880	Chromosome	920056	920620	1.0	0.0	0.0	0.0
ABR06_03208	Chromosome	3218603	3219611	1.0	0.0	0.0	0.0
ABR06_03483	Chromosome	3505449	3506378	1.0	0.0	0.0	0.0
ABR06_03057	Chromosome	3054861	3056187	1.0	0.0	0.0	0.0
ABR06_01106	Chromosome	1144880	1146071	1.0	0.0	0.0	0.0
ABR06_02935	Chromosome	2942197	2952556	2.0	0.0	0.0	0.0
ABR06_01003	Chromosome	1018777	1029886	1.0	0.0	0.0	1.0
ds_ABR06_03270<>us_ABR06_03271	Chromosome	3281290	3281450	1.0	0.0	0.0	0.0
ABR06_03458	Chromosome	3481202	3482465	2.0	0.0	0.0	0.0
ABR06_00864	Chromosome	902497	904882	1.0	0.0	1.0	0.0
ABR06_01408	Chromosome	1441447	1441789	2.0	0.0	0.0	0.0
ABR06_03906	Chromosome	3939262	3940384	2.0	0.0	0.0	0.0
ABR06_02941	Chromosome	2955728	2955980	2.0	0.0	0.0	0.0
ABR06_01140	Chromosome	1183089	1183959	1.0	0.0	0.0	0.0
us_ABR06_03599<>ds_ABR06_03600	Chromosome	3637392	3637697	1.0	0.0	0.0	0.0
ABR06_02777	Chromosome	2773903	2775921	1.0	0.0	0.0	0.0
ABR06_01409	Chromosome	1441855	1442608	2.0	0.0	0.0	0.0
ABR06_03774	Chromosome	3799376	3799967	1.0	0.0	0.0	0.0
ABR06_01084	Chromosome	1117965	1118931	1.0	0.0	0.0	0.0
ABR06_03924	Chromosome	3955658	3957419	1.0	0.0	0.0	0.0
ABR06_01395	Chromosome	1428446	1428787	0.0	1.0	0.0	0.0
ABR06_02765	Chromosome	2754627	2761425	0.0	2.0	0.0	0.0
ABR06_02971	Chromosome	2979005	2981294	0.0	1.0	0.0	0.0
ABR06_02836	Chromosome	2838776	2839531	0.0	1.0	0.0	0.0
ABR06_01568	Chromosome	1610659	1611904	0.0	1.0	0.0	0.0
ABR06_01070	Chromosome	1102745	1104134	0.0	1.0	0.0	0.0
ABR06_00594	Chromosome	594421	595248	0.0	2.0	0.0	0.0
ABR06_01642	Chromosome	1682141	1683392	0.0	1.0	0.0	0.0
ABR06_00149	Chromosome	152686	154876	0.0	2.0	0.0	0.0
ABR06_01569	Chromosome	1612204	1612708	0.0	1.0	0.0	0.0
ABR06_03912	Chromosome	3945437	3946394	0.0	1.0	0.0	0.0
ABR06_03216	Chromosome	3228731	3229854	0.0	4.0	0.0	0.0
ABR06_03782	Chromosome	3803497	3805355	0.0	1.0	0.0	0.0
ABR06_00443	Chromosome	444974	446465	0.0	1.0	0.0	0.0
